@relation material_training_weka-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-289-weka.filters.unsupervised.attribute.NumericToNominal-R2-4-weka.filters.supervised.instance.SMOTE-C6-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C6-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C6-K5-P40.0-S1-weka.filters.supervised.instance.SMOTE-C5-K5-P849.0-S1-weka.filters.supervised.instance.SMOTE-C4-K5-P890.0-S1-weka.filters.supervised.instance.SMOTE-C2-K5-P391.0-S1-weka.filters.supervised.instance.SMOTE-C3-K1-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1-weka.filters.supervised.instance.SMOTE-C3-K5-P500.0-S1

@attribute id numeric
@attribute num_room {0,1,2,3,4,5}
@attribute max_floor {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,47,48,57,99,117}
@attribute state {0,1,2,3}
@attribute material {0,1,2,3,4,5}

@data
7675,1,17,1,0
8059,0,5,2,1
8114,2,22,1,3
8138,1,16,2,0
8147,0,17,1,0
8156,2,17,0,5
8157,1,9,2,0
8171,0,8,1,1
8178,0,16,1,0
8189,1,17,0,3
8219,1,12,1,0
8258,2,24,2,0
8271,2,1,0,0
8285,1,17,2,0
8290,2,5,1,1
8296,0,17,2,0
8330,1,6,2,1
8353,1,5,2,1
8365,1,10,2,0
8369,2,22,1,0
8370,1,9,1,0
8377,0,9,1,0
8384,1,25,1,1
8390,1,16,1,4
8394,0,9,2,4
8413,1,5,1,1
8426,1,9,2,1
8427,2,14,1,0
8429,2,17,2,0
8430,1,9,2,0
8454,0,17,0,0
8455,1,9,1,1
8473,1,17,2,0
8479,0,12,1,0
8501,1,17,1,0
8502,0,12,1,0
8504,1,8,1,1
8512,0,14,1,0
8516,0,17,1,0
8522,2,9,2,0
8528,2,9,1,0
8534,0,12,0,5
8538,1,12,2,4
8550,0,22,1,3
8560,2,17,2,0
8566,1,5,2,0
8574,1,5,1,1
8577,2,18,1,3
8579,1,17,2,0
8580,1,9,1,0
8586,1,5,1,1
8593,0,12,1,0
8605,2,16,2,4
8606,0,16,1,0
8608,2,9,2,0
8621,1,17,0,5
8628,1,12,2,0
8630,1,16,2,0
8641,1,9,1,0
8642,1,9,2,1
8646,0,16,1,0
8650,0,16,1,0
8655,1,5,2,0
8668,0,25,1,3
8689,2,17,1,0
8692,1,14,2,0
8699,1,5,1,4
8702,1,14,1,1
8703,1,14,2,1
8705,1,12,2,0
8708,2,5,1,0
8715,1,23,1,0
8721,1,5,1,1
8722,0,16,2,0
8724,1,5,1,1
8726,1,20,1,1
8730,0,9,2,1
8732,0,16,1,4
8734,1,5,2,1
8743,0,5,1,4
8749,2,16,2,4
8755,1,9,1,0
8761,1,9,2,0
8762,0,14,1,5
8764,2,8,1,1
8777,1,16,1,0
8791,0,17,0,0
8793,0,9,2,4
8795,1,12,2,0
8796,1,17,2,0
8798,3,5,1,1
8799,1,6,0,1
8814,1,12,1,4
8816,1,14,1,0
8821,2,5,1,1
8825,2,17,2,0
8828,2,9,2,0
8832,1,14,2,0
8833,0,25,1,3
8839,2,9,1,0
8848,1,24,1,0
8859,1,22,0,5
8872,2,22,2,0
8886,1,14,2,0
8897,1,5,1,0
8900,1,5,1,4
8905,1,5,0,1
8906,1,5,1,4
8909,2,7,2,1
8915,1,12,0,0
8917,0,16,2,4
8930,1,9,1,0
8932,1,9,1,1
8936,4,4,1,1
8952,2,10,2,1
8956,0,9,1,0
8960,1,1,2,1
8965,0,17,3,0
8968,0,17,2,0
8969,2,5,2,0
8970,0,12,1,4
8979,1,5,1,1
8981,2,5,2,1
8982,2,9,1,0
8987,2,9,1,0
8989,2,7,1,5
8991,1,16,1,0
9003,1,9,1,0
9010,0,17,1,0
9014,1,12,1,4
9016,0,14,1,0
9017,2,14,1,0
9021,1,25,2,0
9022,3,9,2,0
9027,0,9,2,0
9028,2,9,2,0
9030,0,9,1,4
9033,0,17,2,0
9037,0,5,2,1
9039,2,17,2,0
9040,0,17,2,0
9056,2,9,1,0
9065,1,12,2,0
9069,0,9,3,1
9070,0,12,1,0
9075,2,5,1,1
9090,2,8,2,1
9110,1,9,1,0
9113,1,5,2,1
9116,2,30,0,3
9117,0,8,2,4
9120,2,5,0,0
9121,1,14,1,0
9127,0,17,1,0
9129,2,11,1,1
9137,0,17,2,0
9141,0,5,1,0
9142,0,17,2,0
9147,0,5,1,1
9155,0,16,2,0
9158,1,14,1,1
9160,0,16,2,0
9161,0,5,1,0
9163,1,9,1,1
9164,2,3,1,1
9170,1,22,1,4
9173,1,5,1,1
9175,0,10,1,0
9178,1,9,2,0
9183,2,9,2,0
9184,0,5,2,1
9193,1,9,2,0
9196,1,17,1,0
9201,0,14,1,0
9202,2,16,2,0
9207,0,5,1,1
9208,0,12,1,1
9211,1,5,1,0
9216,1,16,1,0
9222,1,9,1,0
9226,2,9,2,0
9232,1,17,2,0
9240,1,12,1,0
9242,0,25,1,3
9245,1,12,1,0
9246,1,5,1,1
9248,0,12,1,0
9250,2,17,1,0
9253,3,14,1,0
9255,0,14,1,0
9256,0,5,1,0
9257,0,17,1,0
9259,2,16,2,0
9260,0,1,0,0
9262,1,17,1,0
9267,3,14,1,0
9271,1,22,3,0
9273,2,5,1,1
9274,0,12,1,0
9297,1,12,1,4
9300,1,12,1,0
9305,3,22,2,0
9306,1,9,2,4
9310,2,9,2,0
9312,1,1,0,0
9324,0,9,1,0
9332,1,14,1,4
9335,0,17,1,0
9337,1,12,1,0
9338,1,12,1,0
9341,2,24,1,0
9353,2,9,2,0
9354,2,7,2,1
9355,1,22,2,4
9358,0,12,1,4
9361,1,17,2,0
9362,1,18,2,3
9364,2,8,3,1
9367,0,12,2,0
9368,1,12,1,4
9370,2,17,3,1
9383,1,22,1,0
9388,0,24,1,0
9389,0,17,2,0
9390,2,8,1,1
9391,2,1,1,0
9395,2,17,2,0
9406,1,9,2,0
9407,1,12,1,0
9415,0,1,0,5
9419,0,12,1,0
9426,1,12,1,0
9429,2,8,1,1
9430,1,14,1,0
9440,2,24,2,3
9444,2,22,1,0
9445,0,1,1,0
9447,2,12,2,1
9451,0,14,1,1
9452,0,25,2,0
9453,1,12,1,3
9455,1,1,1,0
9459,2,17,2,0
9460,0,5,1,1
9464,0,12,1,4
9465,1,9,1,0
9466,0,12,2,0
9470,0,12,1,0
9471,1,12,2,4
9477,1,5,1,1
9478,1,17,0,0
9485,1,1,2,0
9486,0,5,2,1
9488,0,17,3,0
9491,0,16,1,0
9492,2,22,3,0
9493,2,17,2,0
9494,0,9,3,0
9496,1,8,2,1
9497,1,9,1,1
9499,0,12,0,5
9500,0,4,2,1
9501,0,17,2,0
9503,2,17,3,0
9510,1,9,2,0
9523,1,14,1,1
9524,2,5,2,1
9525,0,8,2,4
9526,1,16,3,0
9528,1,8,2,1
9530,1,22,1,0
9536,1,9,2,1
